feature,importance_mean,importance_std
days_since_registration,641.5,47.331572737209754
thumbs_per_song,528.1,38.736861571950364
thumbs_ratio,484.2,17.21627137332587
social_engagement,405.5,43.97789848953171
avg_song_length,388.6,41.28814734413632
ad_exposure,374.3,26.90332486680575
ad_per_session,332.6,25.42614577337448
activity_acceleration,326.0,51.26185499743233
morning_ratio,318.8,31.751815346177892
activity_trend,283.5,23.119256043393772
ad_x_free,282.6,28.5703809331739
peak_hour_ratio,263.3,26.025841858515246
songs_per_session,261.0,22.514193054357694
events_last_3d,255.0,24.792471975716065
page_Thumbs Down,248.8,38.44996749023333
songs_last_7d,247.7,27.337601292806294
events_last_14d,247.3,33.25674534753982
recent_ratio,241.9,23.43999431171717
avg_items_session,237.4,22.520114465862633
page_Cancel,236.2,9.162726425881957
churn_risk_composite,234.1,34.82479959262748
is_paid,233.0,24.308206204672704
page_Roll Advert,228.5,27.633514273633587
weekday_ratio,215.6,19.95661962023295
problem_score,205.9,33.20123826338744
peak_hour_events,201.2,25.306125740618615
morning_events,195.9,35.249743891898625
recent_vs_old_ratio,195.1,23.359271297614477
session_consistency,188.4,27.67349313372315
sessions_per_day,188.1,31.645431476491726
events_last_7d,175.6,17.721299174847324
error_rate,174.4,25.992306554055567
frustration_score,170.8,37.267203335432136
max_items_session,167.6,17.658488673219527
total_sessions,163.2,14.55105952614219
weekday_events,162.6,22.046415682474205
weekend_ratio,161.4,29.39085269641258
weekend_events,152.0,20.875291082468237
days_active,151.8,21.857111733560163
songs_last_14d,142.0,24.957742063113177
song_diversity,135.8,14.195460933379762
artist_diversity,129.5,19.77793383209345
submit_downgrade_ratio,127.3,17.531241953850405
help_rate,120.6,18.032070196057788
artist_exploration,116.5,20.53858158036561
days_since_last_activity,116.4,24.09794827596555
page_Home,111.5,24.194811197628486
events_per_day,105.6,13.30997954752582
upgraded,103.6,12.03882607787542
songs_per_day,103.4,22.34178944389987
page_Logout,102.1,18.417684738074737
page_Settings,97.0,20.709632756012088
page_Downgrade,93.0,15.64182427553342
days_without_song,92.1,15.758242992866375
page_Thumbs Up,90.5,13.745706400343508
page_Add to Playlist,89.3,18.37298741812737
page_Add Friend,86.1,12.844800071970326
cancel_count,83.9,7.694875639743058
listening_intensity,68.6,12.294533563968807
sessions_per_day_squared,61.0,14.007934259633798
page_Upgrade,60.3,12.614365708279676
page_Help,57.1,8.22529972435993
cancel_ratio,49.9,6.00832755431992
total_events,46.8,7.114929530376405
page_About,46.6,11.491059326469621
page_Save Settings,41.4,12.509551905999228
unique_artists,41.2,8.651268372004447
page_Submit Upgrade,40.8,11.20317415338667
songs_played,35.4,10.699948078794069
settings_visits,30.5,6.637435917246626
downgrades,29.8,8.20298048814508
unique_songs,29.4,6.05896947600094
page_Submit Downgrade,28.2,10.580905233275438
page_Error,23.8,7.0992957397195395
upgrades,23.5,6.381396573025548
help_visits,18.8,7.405703507732702
frustration_x_inactive,10.8,4.516635916254486
cancel_x_inactive,9.9,3.142893217686178
submit_downgrade_count,9.4,3.6270588023294517
errors,9.2,3.9101008796307144
page_NextSong,8.6,3.8355066303046734
cancel_x_decline,7.7,4.762119042797836
downgraded,7.2,4.661902329879224
is_male,6.2,6.762642481555071
downgrade_intent,6.1,3.956710193526379
inactivity_score,0.2,0.4216370213557839
